Loan_ID,Loan_Amount,Property_Value,FICO,DTI,Interest_Rate,Income,Employment_Status,Region,LTV,PD_base,LGD
1,299671.4153011233,269148.83815727563,659.2903161707667,0.30852614268328565,0.05848286247666819,95126.20586240946,1,Northeast,1.1134040828592096,0.031778652384569374,0.27969142900072336
2,236173.56988288154,265590.3069939375,681.6700322167808,0.3173875277007752,0.05783323592535666,90367.66291894624,1,Northeast,0.8892401705317978,0.024289204613145904,0.20123405968612923
3,314768.85381006927,104522.8192843982,664.1571363372914,0.32514359028700657,0.04563480154194509,77065.34800747907,1,Northeast,3.011484534813479,0.08,0.45
4,402302.98564080254,280389.1769958275,706.6250828167672,0.3957489169316944,0.06079584221763738,89924.20017456639,1,Midwest,1.434802120221599,0.042542766143077386,0.3921807420775597
5,226584.6625276664,407939.48981860944,771.8307118877148,0.2602226153210605,0.040099173244233816,104725.24876478831,1,West,0.5554369414650624,0.0074804772624085525,0.1
6,226586.30430508195,167092.1457107846,653.7374705715278,0.2522922406789872,0.048458156742396716,86215.13613063481,1,Northeast,1.3560559854038516,0.03708649566069865,0.3646195948913481
7,407921.28155073914,445817.9181260711,760.0492298661048,0.41892957937143804,0.035009121871021925,102593.02890690822,1,South,0.9149952591976904,0.025204579457482994,0.21024834071919166
8,326743.47291529085,378532.97853012057,653.0996756591867,0.28298842064949614,0.07058626516962815,64899.93664730858,1,Northeast,0.8631836364273113,0.02356006213583985,0.19211427274955897
9,203052.5614065048,231892.00136347546,649.1423672501869,0.21895717171383472,0.052684505060547046,71883.19046562885,1,South,0.8756341754463245,0.02157019376943378,0.1964719614062136
10,304256.00435859646,303016.4435194583,749.1156771005928,0.2811896046320104,0.07666884034816313,67970.38490178074,1,South,1.004090737864721,0.022914522466192404,0.24143175825265237
11,203658.23071875377,511798.61691692396,755.316182680457,0.29359578118047996,0.06302949926519495,73046.05884622781,1,Northeast,0.3979264968428235,0.005,0.1
12,203427.0246429743,408025.7376207039,751.0845962057592,0.4443970182180612,0.059480982133510246,128615.43140118274,1,South,0.49856419800673896,0.014178576858636658,0.1
13,274196.2271566034,321054.03858777776,621.0521555069115,0.393986096990139,0.04913772305719001,111781.16379331081,1,South,0.8540500794280985,0.02932833848710294,0.1889175277998345
14,80000.0,291478.0019646819,672.0429413156769,0.4118016493305794,0.044536499643125796,57692.306439469634,1,Midwest,0.2744632509512451,0.010103816435976682,0.1
15,80000.0,329193.08845419914,749.3793155201993,0.3855978913877429,0.06022971573896945,103124.94889225365,1,West,0.24301846790179635,0.005,0.1
16,193771.24707590273,258588.3730469236,702.4925104338337,0.39569949372922514,0.05428485990727018,78282.5306205429,1,Midwest,0.7493424580259102,0.022183627968254627,0.15226986030906856
17,148716.88796655764,100000.0,635.5784292281521,0.26495342987357456,0.04160729684514699,69528.46243585303,1,Midwest,1.4871688796655764,0.04243428212350267,0.4105091078829517
18,281424.73325952736,565061.3492641677,727.4990763475265,0.3041118275717213,0.03983141583491681,45427.81602832479,1,Midwest,0.4980427941603214,0.009730803110302165,0.1
19,159197.5924478789,338638.9999039282,657.1115644605118,0.2408067749581161,0.04541296270856416,119157.56081460734,1,West,0.4701100360355518,0.009879993856365607,0.1
20,108769.62986647084,367777.67181470443,807.6714909035327,0.3031609575570373,0.07320967225266231,49084.10550998584,1,West,0.29574832351777924,0.005,0.1
21,396564.8768921554,313051.07001477096,792.6904877450955,0.3747283992747793,0.07713277918011305,88441.10465970376,1,Northeast,1.266773746767401,0.032357823986758426,0.33337081136859037
22,227422.36995134642,231785.98391304945,736.245845581334,0.33076666278497974,0.0570498914730891,61610.66262825394,1,Midwest,0.9811739524192284,0.02485359280490934,0.23341088334672996
23,256752.82046879237,297689.0622861475,781.6604022861864,0.4249184655168236,0.05648942796241289,113275.31841209774,1,West,0.8624865774275374,0.022788315829189748,0.19187030209963812
24,107525.18137865432,128072.62853668266,703.8874810074028,0.22868673662182248,0.05163679628170479,79969.44521058149,1,Northeast,0.8395641020817877,0.01814001847695639,0.1838474357286257
25,195561.72754748174,593250.3797663965,745.9262496625009,0.3600190680558592,0.04565514651690498,85966.12033438966,1,Midwest,0.3296445046094835,0.005993785377393826,0.1
26,261092.25897098662,171858.56018931247,788.6632177181245,0.22013577585045457,0.06875179057607245,86977.97211209901,1,Midwest,1.5192275478357196,0.03394909658318354,0.4217296417425018
27,134900.6422577697,196164.04593833844,714.7299209076588,0.3275341175338914,0.07373576393897135,99077.1100480735,1,South,0.6876930051706516,0.016995658811092263,0.13069255180972805
28,287569.8018345672,267168.895473632,684.688769709143,0.3792266738045183,0.04606580914160714,90390.14291949928,1,West,1.076359586413564,0.0322254160591305,0.2667258552447474
29,189936.1310081195,474569.0869822853,597.722682509373,0.30283979465406247,0.05417161621575398,88701.80433116651,1,South,0.400228620485787,0.013234316275267458,0.1
30,220830.62502067233,321741.0799115185,695.0119884567104,0.3640901283269565,0.05050133699289832,74447.94074235666,1,Midwest,0.6863612973556333,0.019403844630911743,0.13022645407447167
31,189829.3387770603,171663.70447634452,749.4053910737387,0.24322141321336527,0.050797609251350226,42758.11879973721,1,Midwest,1.105821054929052,0.024433218622719237,0.2770373692251682
32,435227.81845089374,470520.60329088074,756.7380056540578,0.18690480174428936,0.06685908255429862,56443.471213744335,1,Midwest,0.924992052222273,0.01638905335373687,0.21374721827779555
33,248650.2775262066,407720.07521425775,730.2619039431046,0.36456236979902423,0.041880384546338786,111554.39216041936,1,Northeast,0.6098553704905022,0.015365060709520807,0.10344937967167578
34,144228.90710440997,384612.1948659743,667.5220543022656,0.45952081872605866,0.05966469690936306,80825.41610021106,1,South,0.3749982684627807,0.01525467808781249,0.1
35,332254.49121031887,405888.1089405009,581.3907058631446,0.24031640478640864,0.062282381073058654,70079.70666832561,1,South,0.8185864130821927,0.0241007132907649,0.17650524457876746
36,127915.63500289778,607323.4280698941,670.2870941197159,0.41777553440854365,0.05357848826398181,47828.15566745865,1,Midwest,0.21062193403178997,0.008515324691309648,0.1
37,270886.3595004755,582211.3874043335,681.739307736763,0.3234738727053129,0.06393067826986773,40000.0,1,South,0.46527148963568915,0.011810134210445045,0.1
38,80000.0,237594.15883960458,681.2242619685992,0.2131446782645539,0.0564765184053745,68903.79359615405,1,Midwest,0.3367086143477396,0.005,0.1
39,117181.39511015694,514866.19913733826,737.1133814186754,0.229479575891827,0.06717129921156112,116641.58562135772,1,Midwest,0.22759582063552655,0.005,0.1
40,269686.12358691235,365980.18277106807,819.1405846608903,0.321262781868852,0.03977794695074146,73287.89419133044,1,South,0.7368872312838025,0.013000098980223636,0.14791053094933088
41,323846.657999541,379891.4979365299,707.4117521104656,0.2876430169660717,0.05151224738993131,102014.56575724343,1,West,0.8524714550301609,0.020709276724024412,0.18836500926055633
42,267136.82811899704,116927.50020280058,686.9960926506124,0.2149669618593409,0.05428186857148965,71908.20511806126,1,Midwest,2.2846364427159687,0.061787967123322074,0.45
43,238435.17176117594,299553.70815341646,684.4466912197545,0.1844768575019676,0.03,109166.00088086547,1,Midwest,0.7959680193278106,0.016035780318925295,0.1685888067647337
44,219889.63044107112,222461.1691596122,707.4630860144629,0.2522624537658795,0.044140472664214656,79447.47594573992,1,South,0.9884405052429799,0.02337055900720143,0.23595417683504297
45,102147.80096325726,419367.0577871971,650.302374379096,0.33550472066648945,0.046864007456412136,53043.47263348511,1,South,0.24357612040927393,0.007212353719982995,0.1
46,178015.57916052913,448529.6600483366,707.2119135247633,0.31948793979174894,0.0644820599482335,81931.4079630167,1,South,0.39688697318555244,0.008325531110998367,0.1
47,203936.12290402123,100000.0,727.048740179908,0.27990096339999376,0.047931566536853994,145020.01254841223,1,Midwest,2.0393612290402126,0.05502443839821072,0.45
48,355712.2226218916,317355.8163194875,712.5811638144693,0.33615097554331863,0.04681921012694023,143696.52946652565,1,West,1.1208624651888845,0.03044285478667582,0.2823018628161096
49,284361.82895684615,454623.38057531026,727.4525160402869,0.403202137589015,0.06317485780656192,104595.99908338094,1,West,0.6254887916169116,0.017520123450053604,0.10892107706591908
50,80000.0,297598.5245223866,726.0248565609121,0.35153012083473184,0.03882089354209946,85888.23553758893,1,West,0.2688185370824379,0.005,0.1
51,282408.3969394795,407487.6374002837,593.6861990652134,0.31029530628883356,0.03428755932556428,99117.0540628525,1,Midwest,0.6930477664088341,0.022518935290557696,0.13256671824309196
52,211491.77195836834,362139.8561152501,738.2122095037242,0.3942457605328551,0.051384076999306534,99505.5701619987,1,South,0.5840057877834403,0.0153793935796312,0.1
53,182307.79996940412,360999.22783431516,659.7391092602528,0.2432119758226964,0.04052293231921645,88803.39742898695,1,West,0.505008836343208,0.010891788660191455,0.1
54,311167.6288840868,287442.2026318043,634.2496502197625,0.3020064368355719,0.04090320705340351,103228.32059767851,0,West,1.082539815083011,0.03184396941492508,0.2688889352790539
